"user_id","level_id","retrial_count","superundo_usage","shuffle_usage"
1,101,4,0,0
1,102,3,0,0
1,103,2,0,0
1,104,0,0,0
1,105,6,0,0
1,106,0,0,0
1,107,0,0,0
1,108,28,0,0
1,109,7,0,0
1,110,1,0,0
1,111,16,0,0
1,112,0,0,0
1,113,2,0,0
1,114,1,0,0
1,115,3,0,0
1,116,0,0,0
1,117,7,0,0
1,118,1,0,0
1,119,9,0,0
1,120,9,0,0
1,121,2,0,0
1,122,5,0,0
1,123,6,0,0
1,124,5,0,0
1,125,12,0,0
1,126,1,0,0
1,127,5,0,0
1,128,2,0.333333333333333,0
1,129,24,0.04,0
1,130,1,0,0
1,131,0,0,0
1,132,2,0.333333333333333,0
1,133,4,0,0
1,134,1,0.5,0
1,135,2,0,0
1,136,4,0,0
1,137,1,0,0
1,138,1,0,0
1,139,1,0,0
1,140,5,0,0
1,141,1,0,0
1,142,4,0,0
1,143,1,0.5,0
1,144,3,0,0
1,145,11,0,0
1,146,1,0,0
1,147,5,0,0
1,148,7,0,0
1,149,8,0,0
1,150,0,0,0
1,151,4,0,0
1,152,0,0,0
1,153,9,0,0
1,154,0,0,0
1,155,1,0,0
1,156,6,0,0
1,157,0,0,0
1,158,6,0,0
1,159,0,0,0
1,160,12,0,0
1,161,10,0,0
1,162,8,0.111111111111111,0
1,163,2,0,0
1,164,0,0,0
1,165,0,0,0
1,166,0,0,0
1,167,17,0,0
1,168,0,0,0
1,169,0,0,0
1,170,0,0,0
1,171,0,0,0
1,172,6,0,0
1,173,1,0,0
1,174,0,0,0
1,175,16,0,0
1,176,1,0,0
1,177,2,0,0
1,178,0,1,0
1,179,1,0,0
1,180,10,0,0
1,181,2,0,0
1,182,4,0,0
1,183,8,0,0
1,184,0,0,0
1,185,3,0,0
1,186,0,0,0
1,187,5,0,0
1,188,1,0,0
1,189,26,0,0
1,190,4,0,0
1,191,0,0,0
1,192,2,0,0
1,193,6,0,0
1,194,1,0,0
1,195,0,0,0
1,196,3,0,0
1,197,1,0,0
1,198,16,0,0
1,199,1,0,0
1,200,3,0,0
2,101,7,0,0.625
2,102,1,0,2
2,103,6,0,0.142857142857143
2,104,4,0,0.2
2,105,2,0,0.333333333333333
2,106,4,0,0.6
2,107,11,0,0.666666666666667
2,108,0,0,0
2,109,1,0,0
2,110,11,0,0.416666666666667
2,111,13,0,0.142857142857143
2,112,12,0,0.0769230769230769
2,113,3,0,0.25
2,114,4,0,0
2,115,0,0,0
2,116,0,0,1
2,117,3,0,1
2,118,0,0,1
2,119,7,0,0.25
2,120,5,0,0.833333333333333
2,121,0,0,0
2,122,0,0,0
2,123,1,0,1
2,124,5,0,0.333333333333333
2,125,0,0,0
2,126,5,0,0.166666666666667
2,127,0,0,0
2,128,4,0,0.2
2,129,12,0,0.846153846153846
2,130,13,0,0.571428571428572
2,131,23,0,0.0416666666666667
2,132,12,0,0
2,133,42,0,0.0697674418604651
2,134,9,0,0.1
2,135,0,0,0
2,136,3,0,0.5
2,137,5,0,0.166666666666667
2,138,2,0,0
2,139,1,0,0
2,140,1,0,0.5
2,141,0,0,1
2,142,2,0,0
2,143,1,0,1
2,144,0,0,1
2,145,18,0,0.210526315789474
2,146,2,0,0.666666666666667
2,147,52,0,0.320754716981132
2,148,12,0,0
2,149,0,0,0
2,150,11,0,0.25
2,151,22,0,0.0434782608695652
2,152,0,0,0
2,153,31,0,0.0625
2,154,7,0,0.125
2,155,16,0,0.0588235294117647
2,156,0,0,0
2,157,52,0.0943396226415094,0.132075471698113
2,158,1,0.5,0
2,159,1,0,1
2,160,3,0,0.5
2,161,12,0.307692307692308,0.692307692307692
2,162,57,0.0172413793103448,0.396551724137931
2,163,3,0,0.5
2,164,0,0,0
2,165,2,0,0
2,166,1,0.5,0
2,167,2,0.333333333333333,1
2,168,9,0,0
2,169,11,0,0.25
