"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0.04 0 0 0.333333333333333 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0943396226415094 0.5 0 0 0.307692307692308 0.0172413793103448 0 0 0 0.5 0.333333333333333 0 0 0 0 0 0 0 0 0 0.333333333333333 1 0 0 0.142857142857143 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0.25 0.5 0 2 0 0.214285714285714 1 0
"3" 0 0 0.5 0 0 0 0.25 0 0.571428571428571 1 0.166666666666667 0 0.1 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0.333333333333333 0 0 0 0.4 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0.2 0 0 0 0.125 0 0.333333333333333 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.076923076923077 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0.5 0.333333333333333 0.0961538461538461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0.0303030303030303 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0.2 0 2 3 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0.5 0 0 0 0.166666666666667 0 0 0.5 0.0303030303030303 0 0 0 0 0.166666666666667 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0.5 0 0 0 0 0 0.25 0 0 0 0 1 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.166666666666667 0 0 0 0 1 0 0.5 0 0.0769230769230769
"6" 1 1 0.111111111111111 0 0 0.266666666666667 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0.0512820512820513 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0.333333333333333 0 0.166666666666667 0 0 0 0 0 1 0 0 0 0 0 0 0.666666666666667 0 0 1 1 1 0.0606060606060606 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0.0192307692307692 0 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.181818181818182 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0.25 0 0 0 0.333333333333333
"8" 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0
"9" 0 0 0 0 0 0 0 0 2 0.2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0.5 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.333333333333333 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 1 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0.333333333333333 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0.0333333333333333 0 0 0 0
