"user_id","level_id","retrial_count"
101,151,15
101,152,0
101,153,0
101,154,0
101,155,0
101,156,0
101,157,0
101,158,0
101,159,0
101,160,0
101,161,0
101,162,0
101,163,0
101,164,0
101,165,0
101,166,0
101,167,28
101,168,4
101,169,0
101,170,0
101,171,6
101,172,15
101,173,31
101,174,0
101,175,5
101,176,1
101,177,0
101,178,0
101,179,2
101,180,1
101,181,3
101,182,10
101,183,22
101,184,5
101,185,0
101,186,1
101,187,2
101,188,0
101,189,22
101,190,0
101,191,9
101,192,1
101,193,18
101,194,1
101,195,2
101,196,3
101,197,0
101,198,0
101,199,0
101,200,0
102,151,0
102,152,0
102,153,7
102,154,0
102,155,15
102,156,0
102,157,3
102,158,5
102,159,0
102,160,1
102,161,14
102,162,1
102,163,12
102,164,1
102,165,0
102,166,1
102,167,0
102,168,0
102,169,0
102,170,0
102,171,2
102,172,0
102,173,13
102,174,0
102,175,0
102,176,0
102,177,3
102,178,13
102,179,1
102,180,18
102,181,3
102,182,0
102,183,10
102,184,6
102,185,1
102,186,0
102,187,26
102,188,1
102,189,3
102,190,1
102,191,1
102,192,3
102,193,1
102,194,4
102,195,4
102,196,0
102,197,0
102,198,0
102,199,1
102,200,0
103,151,9
103,152,0
103,153,4
103,154,1
103,155,2
103,156,0
103,157,11
103,158,2
103,159,18
103,160,0
103,161,36
103,162,5
103,163,21
103,164,0
103,165,4
103,166,1
103,167,2
103,168,0
103,169,11
103,170,1
103,171,5
103,172,10
103,173,3
103,174,1
103,175,1
103,176,0
103,177,3
103,178,0
103,179,6
103,180,0
103,181,25
103,182,5
103,183,10
103,184,0
103,185,3
103,186,0
103,187,35
103,188,0
103,189,1
103,190,1
103,191,9
103,192,0
103,193,4
103,194,0
103,195,2
103,196,1
103,197,3
103,198,2
103,199,0
103,200,6
104,151,11
104,152,6
104,153,0
104,154,2
104,155,1
104,156,4
104,157,5
104,158,2
104,159,1
104,160,3
104,161,4
104,162,2
104,163,13
104,164,0
104,165,1
104,166,1
104,167,6
104,168,1
104,169,0
104,170,6
104,171,1
104,172,9
104,173,19
104,174,2
104,175,2
104,176,7
104,177,10
104,178,7
104,179,10
104,180,7
104,181,4
104,182,5
104,183,7
104,184,4
104,185,4
104,186,0
104,187,13
104,188,1
104,189,2
104,190,2
104,191,2
104,192,0
104,193,0
104,194,3
104,195,3
104,196,0
104,197,4
104,198,3
104,199,1
104,200,2
105,151,2
105,152,0
105,153,0
105,154,15
105,155,16
105,156,5
105,157,8
105,158,0
105,159,0
105,160,1
105,161,11
105,162,6
105,163,2
105,164,3
105,165,3
105,166,1
105,167,10
105,168,1
105,169,0
105,170,0
105,171,34
105,172,3
105,173,1
105,174,0
105,175,12
105,176,4
105,177,5
105,178,4
105,179,0
105,180,2
105,181,1
105,182,0
105,183,19
105,184,0
105,185,2
105,186,10
105,187,4
105,188,1
105,189,0
105,190,6
105,191,5
105,192,1
105,193,0
105,194,10
105,195,2
105,196,25
105,197,4
105,198,8
105,199,5
105,200,6
106,151,6
106,152,8
106,153,7
106,154,2
106,155,45
106,156,0
106,157,1
106,158,12
106,159,1
106,160,2
106,161,8
106,162,16
106,163,28
106,164,0
106,165,1
106,166,0
106,167,26
106,168,18
106,169,3
106,170,0
106,171,2
106,172,1
106,173,21
106,174,1
106,175,3
106,176,2
106,177,0
106,178,0
106,179,0
106,180,5
106,181,1
106,182,7
106,183,30
106,184,0
106,185,16
106,186,0
106,187,23
106,188,0
106,189,0
106,190,0
106,191,0
106,192,0
106,193,0
106,194,0
106,195,0
106,196,11
106,197,2
106,198,7
106,199,4
106,200,0
107,151,12
107,152,17
107,153,10
107,154,0
107,155,24
107,156,0
107,157,26
107,158,1
107,159,1
107,160,13
107,161,1
107,162,17
107,163,1
107,164,0
107,165,7
107,166,2
107,167,21
107,168,3
107,169,6
107,170,1
107,171,6
107,172,10
107,173,4
107,174,0
107,175,14
107,176,6
107,177,5
107,178,9
107,179,8
107,180,8
107,181,1
107,182,10
107,183,12
107,184,9
107,185,16
107,186,5
107,187,19
107,188,6
107,189,0
107,190,9
107,191,0
107,192,3
107,193,0
107,194,4
107,195,2
107,196,3
107,197,0
107,198,1
107,199,0
107,200,11
108,151,12
108,152,3
108,153,0
108,154,12
108,155,12
108,156,4
108,157,21
108,158,0
108,159,6
108,160,0
108,161,5
108,162,3
108,163,7
108,164,0
108,165,0
108,166,0
108,167,11
108,168,11
108,169,0
108,170,0
108,171,2
108,172,1
108,173,35
108,174,0
108,175,2
108,176,0
108,177,0
108,178,0
108,179,0
108,180,0
108,181,0
108,182,0
108,183,1
108,184,0
108,185,29
108,186,0
108,187,71
108,188,2
108,189,0
108,190,0
108,191,0
108,192,1
108,193,1
108,194,0
108,195,9
108,196,3
108,197,2
108,198,3
108,199,0
108,200,2
109,151,21
109,152,3
109,153,7
109,154,0
109,155,13
109,156,0
109,157,6
109,158,0
109,159,12
109,160,8
109,161,3
109,162,13
109,163,1
